Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-22,45.6,45.6,43.35,43.35,22000,ST,9,2444.44,22000
2026-01-23,41.2,41.2,41.2,41.2,2000,ST,1,2000.0,2000
2026-01-27,39.15,39.15,39.15,39.15,2000,ST,1,2000.0,2000
2026-01-28,37.2,37.2,37.2,37.2,10000,ST,5,2000.0,10000
2026-01-29,35.35,35.35,35.35,35.35,4000,ST,2,2000.0,4000
2026-01-30,33.6,33.6,33.6,33.6,94000,ST,37,2540.54,94000
2026-02-01,31.95,31.95,31.95,31.95,4000,ST,2,2000.0,4000
2026-02-02,30.4,30.4,30.4,30.4,184000,ST,29,6344.83,184000
2026-02-03,28.9,31.9,28.9,31.8,1094000,ST,394,2776.65,1060000
2026-02-04,30.55,32.0,30.25,30.95,94000,ST,43,2186.05,90000
2026-02-05,31.4,32.45,29.05,30.1,136000,SM,65,2092.31,76000
