Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-20,77.5,81.35,73.65,80.3,3482000,ST,990,3517.17,3480000
2026-01-21,80.0,83.6,76.3,76.3,544000,ST,198,2747.47,522000
2026-01-22,78.5,79.7,72.5,75.85,282000,ST,119,2369.75,232000
2026-01-23,75.75,75.8,72.1,72.1,182000,ST,83,2192.77,164000
2026-01-27,68.65,70.7,68.5,68.5,94000,ST,46,2043.48,88000
2026-01-28,67.0,71.9,65.1,71.9,130000,ST,62,2096.77,112000
2026-01-29,73.95,73.95,68.35,71.55,180000,ST,55,3272.73,172000
2026-01-30,68.05,69.85,68.0,68.0,68000,ST,27,2518.52,60000
2026-02-01,65.15,70.85,64.6,67.25,72000,ST,34,2117.65,64000
2026-02-02,66.0,66.8,63.95,66.25,26000,ST,13,2000.0,24000
2026-02-03,70.15,78.4,70.1,74.65,228000,SM,82,2780.49,198000
2026-02-04,73.0,75.85,66.5,73.75,142000,SM,61,2327.87,72000
2026-02-05,73.0,74.95,71.0,72.55,72000,SM,27,2666.67,60000
