Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-19,45.0,45.09,40.12,40.58,738039378,EQ,1223374,603.28,268860795
2026-01-20,40.75,43.45,40.14,40.71,295990371,EQ,486545,608.35,52129373
2026-01-21,41.4,42.27,38.27,39.1,227367877,EQ,377123,602.9,32305705
2026-01-22,40.2,40.95,38.67,38.94,81826431,EQ,141058,580.09,16842289
2026-01-23,38.94,38.95,36.15,36.55,81632463,EQ,167199,488.24,19012718
2026-01-27,36.55,38.0,35.09,37.73,131538802,EQ,201608,652.45,20406207
2026-01-28,38.19,38.86,36.82,37.18,75489206,EQ,118031,639.57,16553232
2026-01-29,37.09,39.0,36.43,38.02,84812609,EQ,119093,712.15,14655660
2026-01-30,38.08,41.88,37.8,39.82,156252681,EQ,215765,724.18,25728829
2026-02-01,40.0,41.74,38.17,39.23,65870345,EQ,116702,564.43,11870563
2026-02-02,39.18,39.25,37.8,38.71,28264905,EQ,53957,523.84,6665262
2026-02-03,40.0,40.8,37.12,38.71,36306168,EQ,63478,571.95,10826165
2026-02-04,36.1,38.1,36.1,37.46,45277265,EQ,82403,549.46,10619606
2026-02-05,37.63,38.15,37.25,37.43,16848811,EQ,37124,453.85,4641251
