Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-27,26.34,27.0,26.12,26.17,6494,EQ,38,170.89,5263
2025-11-28,26.71,26.72,26.1,26.28,5019,EQ,35,143.4,2543
2025-12-01,26.41,26.8,26.07,26.69,1032,EQ,35,29.49,767
2025-12-02,27.22,27.22,26.07,26.47,7619,EQ,84,90.7,2919
2025-12-03,26.59,27.0,26.46,26.92,3642,EQ,29,125.59,2288
2025-12-04,26.97,26.97,26.14,26.63,904,EQ,33,27.39,520
2025-12-05,26.76,26.79,26.25,26.48,1977,EQ,37,53.43,1444
2025-12-08,26.41,26.41,25.92,26.17,4823,EQ,46,104.85,4429
2025-12-09,25.65,26.7,25.65,26.5,1248,EQ,27,46.22,837
2025-12-10,26.7,26.7,26.24,26.51,1799,EQ,27,66.63,1132
2025-12-11,26.51,26.51,25.82,26.51,1510,EQ,31,48.71,1303
2025-12-12,26.51,26.77,26.24,26.53,1946,EQ,19,102.42,1139
2025-12-15,26.4,26.52,26.4,26.52,779,EQ,21,37.1,779
2025-12-16,25.98,26.11,25.85,25.91,45806,EQ,154,297.44,45705
2025-12-17,26.04,26.04,25.76,25.84,3217,EQ,37,86.95,3205
2025-12-18,25.77,25.91,25.75,25.76,954,EQ,21,45.43,954
2025-12-19,25.91,26.03,25.87,25.91,1686,EQ,23,73.3,1665
2025-12-22,26.45,26.45,26.06,26.09,4331,EQ,17,254.76,2212
2025-12-23,26.15,26.16,26.1,26.16,10110,EQ,20,505.5,10109
2025-12-24,26.16,26.24,26.06,26.11,517,EQ,23,22.48,510
2025-12-26,26.24,26.24,25.98,26.0,873,EQ,32,27.28,867
2025-12-29,26.07,26.07,25.86,25.99,17976,EQ,41,438.44,17821
2025-12-30,25.93,26.0,25.86,25.89,1463,EQ,22,66.5,1432
2025-12-31,26.11,26.13,25.93,26.08,66106,EQ,26,2542.54,66102
2026-01-01,26.22,26.22,26.08,26.09,888,EQ,16,55.5,777
2026-01-02,26.2,26.25,26.16,26.24,3794,EQ,22,172.45,3794
2026-01-05,26.24,26.36,26.18,26.21,4198,EQ,14,299.86,3243
2026-01-06,26.21,26.27,26.15,26.17,1895,EQ,17,111.47,1894
2026-01-07,26.08,26.17,26.02,26.12,4266,EQ,41,104.05,4265
2026-01-08,26.05,26.05,25.85,25.87,5820,EQ,33,176.36,5820
2026-01-09,25.85,25.9,25.61,25.67,4796,EQ,52,92.23,4778
2026-01-12,26.21,26.21,25.45,25.76,16792,EQ,51,329.25,12128
2026-01-13,25.78,25.78,25.57,25.67,3142,EQ,28,112.21,3138
2026-01-14,25.71,25.71,25.54,25.6,7044,EQ,23,306.26,6874
2026-01-16,25.6,25.83,25.6,25.64,4032,EQ,34,118.59,3837
2026-01-19,25.49,25.59,25.4,25.58,49198,EQ,45,1093.29,40476
2026-01-20,25.45,25.51,25.25,25.31,9285,EQ,44,211.02,6226
2026-01-21,25.26,25.35,24.97,25.11,42145,EQ,107,393.88,27378
2026-01-22,25.4,25.42,25.15,25.26,2650,EQ,31,85.48,1530
2026-01-23,25.15,25.35,25.0,25.13,3824,EQ,53,72.15,3129
2026-01-27,25.01,25.3,25.0,25.23,24513,EQ,38,645.08,16928
2026-01-28,25.35,25.41,25.16,25.29,3640,EQ,29,125.52,3607
2026-01-29,25.92,25.92,25.14,25.42,6713,EQ,20,335.65,65532026-02-01,25.45,25.48,24.73,25.31,69337,EQ,81,856.01,7605
2026-02-02,24.87,25.23,24.76,25.19,6900,EQ,59,116.95,3430
2026-02-03,25.69,25.98,25.53,25.84,8363,EQ,31,269.77,8100
2026-02-04,25.72,25.88,25.67,25.83,5690,EQ,49,116.12,5397
2026-02-05,25.82,25.88,25.59,25.85,2089,EQ,37,56.46,2542026-02-06,25.63,25.72,25.45,25.72,8994,EQ,39,230.62,5972
2026-02-09,25.75,25.89,25.74,25.86,7162,EQ,37,193.57,4683
2026-02-10,25.87,25.95,25.86,25.95,1710,EQ,23,74.35,1704
2026-02-11,26.0,26.0,25.89,25.98,3417,EQ,26,131.42,2931
2026-02-12,25.89,25.89,25.76,25.76,4677,EQ,28,167.04,4485
2026-02-13,25.65,25.72,25.5,25.64,3878,EQ,29,133.72,3156
2026-02-16,25.45,25.72,25.45,25.7,452,EQ,27,16.74,450
2026-02-17,25.61,25.76,25.59,25.76,338,EQ,16,21.12,243
2026-02-18,25.79,25.83,25.67,25.74,2103,EQ,21,100.14,2002
2026-02-19,25.89,25.9,25.36,25.44,1095,EQ,29,37.76,972
2026-02-20,25.51,25.68,25.5,25.59,200,EQ,25,8.0,196
2026-02-23,25.72,25.72,25.61,25.72,1856,EQ,24,77.33,1855
2026-02-24,25.64,25.64,25.4,25.51,1413,EQ,32,44.16,1411
2026-02-25,25.54,25.71,25.45,25.46,665,EQ,18,36.94,612
2026-02-26,25.58,25.64,25.41,25.56,463,EQ,23,20.13,451
2026-02-27,25.68,25.68,25.25,25.28,5357,EQ,58,92.36,4423
2026-03-02,25.12,25.12,24.68,24.98,5510,EQ,77,71.56,5456
2026-03-04,24.55,24.71,24.36,24.6,4656,EQ,55,84.65,3512
2026-03-05,24.72,24.9,24.49,24.87,1824,EQ,30,60.8,1475
2026-03-06,24.79,24.79,24.54,24.56,1169,EQ,35,33.4,1167
2026-03-04,24.55,24.71,24.36,24.6,4656,EQ,55,84.65,3512
