Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-10-16,10.56,11.9,10.5,10.66,270745,EQ,129,2098.8,154543
2025-10-17,10.66,10.74,10.63,10.65,77212,EQ,193,400.06,57607
2025-10-20,10.91,10.91,10.67,10.72,181552,EQ,317,572.72,139748
2025-10-21,10.72,11.55,10.72,10.76,185121,EQ,333,555.92,172770
2025-10-23,11.02,11.2,10.54,10.67,248295,EQ,395,628.59,237653
2025-10-24,10.79,10.85,10.68,10.79,407126,EQ,355,1146.83,347272
2025-10-27,11.05,11.05,10.82,10.89,175406,EQ,300,584.69,123108
2025-10-28,11.05,11.05,10.8,10.84,443568,EQ,388,1143.22,438247
2025-10-29,11.04,11.04,10.76,10.82,300528,EQ,295,1018.74,188589
2025-10-30,10.88,10.91,10.78,10.81,232980,EQ,220,1059.0,222732
2025-10-31,10.88,10.97,10.73,10.73,177007,EQ,463,382.3,174875
2025-11-03,10.79,10.8,10.68,10.75,289533,EQ,354,817.89,207229
2025-11-04,11.01,11.01,10.62,10.64,215926,EQ,536,402.85,156248
2025-11-06,10.72,10.72,10.57,10.6,189255,EQ,375,504.68,178396
2025-11-07,10.6,10.66,10.48,10.61,79743,EQ,403,197.87,64044
2025-11-10,10.74,10.75,10.61,10.7,71680,EQ,222,322.88,68561
2025-11-11,10.9,10.95,10.64,10.76,82896,EQ,232,357.31,50199
2025-11-12,10.81,11.0,10.76,10.9,238020,EQ,184,1293.59,169592
2025-11-13,10.89,10.93,10.79,10.88,413378,EQ,269,1536.72,288086
2025-11-14,10.86,10.88,10.78,10.83,52888,EQ,350,151.11,48790
2025-11-17,10.88,10.94,10.85,10.92,93268,EQ,288,323.85,91187
2025-11-18,10.91,10.92,10.81,10.83,169263,EQ,267,633.94,126011
2025-11-19,10.88,10.92,10.81,10.91,85527,EQ,142,602.3,76238
2025-11-20,10.94,10.97,10.9,10.92,112443,EQ,199,565.04,95586
2025-11-21,10.95,10.95,10.68,10.83,105908,EQ,257,412.09,104049
2025-11-24,11.04,11.04,10.66,10.78,309511,EQ,361,857.37,248696
2025-11-25,10.98,10.98,10.74,10.74,270376,EQ,327,826.84,262062
2025-11-26,10.79,10.92,10.79,10.84,105460,EQ,152,693.82,102663
2025-11-27,10.84,10.91,10.7,10.87,76451,EQ,163,469.02,75714
