Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-16,28.94,29.22,28.55,28.63,72431,EQ,872,83.06,62280
2026-01-19,28.5,28.9,28.13,28.43,83879,EQ,1022,82.07,65885
2026-01-20,28.3,29.0,27.25,27.68,69942,EQ,909,76.94,48201
2026-01-21,27.68,27.68,26.77,27.12,83634,EQ,826,101.25,71048
2026-01-22,27.11,27.7,27.11,27.64,34874,EQ,365,95.55,22880
2026-01-23,28.19,28.19,27.27,27.42,29861,EQ,454,65.77,20617
2026-01-27,28.1,28.5,27.0,27.43,43408,EQ,565,76.83,28959
2026-01-28,27.14,28.09,27.14,28.0,47438,EQ,474,100.08,34477
2026-01-29,28.56,28.56,27.31,27.64,63153,EQ,618,102.19,440742026-02-01,27.94,28.36,27.1,27.31,64198,EQ,506,126.87,58612
2026-02-02,26.76,27.69,26.63,27.5,28764,EQ,379,75.89,20614
2026-02-03,28.06,29.06,28.01,28.42,93309,EQ,472,197.69,62563
2026-02-04,28.79,28.79,28.39,28.44,54071,EQ,329,164.35,43077
2026-02-05,28.53,29.18,28.18,28.59,52284,EQ,293,178.44,30152
