Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-19,272.37,272.37,272.3,272.37,18203,BE,58,313.84,18203
2026-01-20,275.0,285.98,272.0,282.31,11897,BE,165,72.1,11897
2026-01-21,287.96,287.96,269.01,277.15,1694,BE,169,10.02,1694
2026-01-22,281.0,291.0,281.0,284.25,10246,BE,108,94.87,10246
2026-01-23,284.2,285.0,280.0,280.0,279,BE,17,16.41,279
2026-01-27,267.1,286.0,267.1,267.22,504,BE,29,17.38,504
2026-01-28,268.02,280.58,268.02,280.0,181,BE,11,16.45,181
2026-01-29,294.0,294.0,270.0,273.02,907,BE,31,29.26,9072026-02-01,271.8,271.8,263.7,265.55,425,BE,13,32.69,425
2026-02-02,263.7,278.7,263.7,274.9,472,BE,18,26.22,472
2026-02-03,274.0,282.85,274.0,274.0,158,BE,5,31.6,158
2026-02-04,274.0,275.35,274.0,274.95,125,BE,8,15.62,125
2026-02-05,272.2,288.0,272.2,282.1,2033,BE,43,47.28,2033
