Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
6/14/1995,2.35,2.35,2.3,2.3,178300,EQ,,,
6/15/1995,2.3,2.3,2.25,2.3,103500,EQ,,,
6/16/1995,2.3,2.3,2.25,2.25,212300,EQ,,,
6/19/1995,2.25,2.3,2.2,2.25,89900,EQ,,,
6/20/1995,2.25,2.25,2.25,2.25,139600,EQ,,,
6/21/1995,2.35,2.35,2.25,2.25,59100,EQ,,,
6/22/1995,2.3,2.3,2.2,2.2,87900,EQ,,,
6/23/1995,2.25,2.25,2.2,2.2,49600,EQ,,,
6/26/1995,2.2,2.2,2.1,2.1,82800,EQ,,,
6/27/1995,2.1,2.1,2,2.1,87200,EQ,,,
6/28/1995,2.1,2.15,2.1,2.15,101900,EQ,,,
6/29/1995,2.15,2.15,2.1,2.1,62400,EQ,,,
6/30/1995,2.1,2.1,2.05,2.05,61200,EQ,,,
7/3/1995,2,2.1,2,2,95800,EQ,,,
7/5/1995,2,2.05,2,2,105800,EQ,,,
7/10/1995,2,2.05,2,2,92000,EQ,,,
7/11/1995,1.9,2.05,1.9,2.05,109100,EQ,,,
7/12/1995,2.1,2.1,2.05,2.05,35900,EQ,,,
7/13/1995,2.1,2.1,2.05,2.1,44300,EQ,,,
7/14/1995,2.1,2.2,2.1,2.2,199800,EQ,,,
7/17/1995,2.25,2.25,2.2,2.25,101400,EQ,,,
7/18/1995,2.25,2.25,2.2,2.2,112600,EQ,,,
7/19/1995,2.2,2.2,2.2,2.2,58800,EQ,,,
7/20/1995,2.25,2.25,2.2,2.25,67600,EQ,,,
7/21/1995,2.2,2.25,2.2,2.2,66300,EQ,,,
7/24/1995,2.25,2.25,2.2,2.2,57200,EQ,,,
7/25/1995,2.2,2.2,2.2,2.2,89500,EQ,,,
7/26/1995,2.25,2.25,2.2,2.2,40300,EQ,,,
7/27/1995,2.2,2.2,2.2,2.2,44300,EQ,,,
7/28/1995,2.15,2.15,2.1,2.1,34900,EQ,,,
7/31/1995,2.1,2.1,2.05,2.1,35200,EQ,,,
8/1/1995,2.05,2.1,2.05,2.05,34200,EQ,,,
8/3/1995,2.1,2.1,2.1,2.1,28400,EQ,,,
8/11/1995,2.1,2.1,2.05,2.05,17600,EQ,,,
8/14/1995,2.05,2.05,2.05,2.05,16700,EQ,,,
8/16/1995,2.1,2.1,2.05,2.05,15100,EQ,,,
8/17/1995,2.1,2.1,2.05,2.05,12700,EQ,,,
8/18/1995,2.05,2.1,2.05,2.05,18300,EQ,,,
8/21/1995,2.1,2.1,2.05,2.05,11900,EQ,,,
8/22/1995,2.05,2.05,2,2.05,35800,EQ,,,
8/23/1995,2.05,2.05,2.05,2.05,8300,EQ,,,
8/24/1995,2,2.05,2,2.05,16800,EQ,,,
8/25/1995,2.05,2.05,2,2,25200,EQ,,,
8/28/1995,2,2,1.95,1.95,37700,EQ,,,
8/30/1995,1.95,2,1.95,1.95,21400,EQ,,,
8/31/1995,1.95,2,1.95,1.95,14300,EQ,,,
9/1/1995,2,2,1.95,1.95,11100,EQ,,,
9/5/1995,1.95,1.95,1.95,1.95,22300,EQ,,,
9/11/1995,1.95,1.95,1.9,1.9,31400,EQ,,,
9/12/1995,1.9,1.9,1.9,1.9,34000,EQ,,,
9/13/1995,1.9,1.95,1.9,1.9,14300,EQ,,,
9/14/1995,1.9,1.9,1.9,1.9,25500,EQ,,,
