Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-20,49.19,49.19,48.9,49.12,1127,EQ,27,41.74,356
2025-11-21,53.0,53.0,48.09,48.43,2519,EQ,42,59.98,2353
2025-11-24,48.44,48.44,48.04,48.23,914,EQ,19,48.11,885
2025-11-25,49.43,49.97,48.01,48.03,565,EQ,42,13.45,498
2025-11-26,48.61,48.61,48.34,48.53,4128,EQ,5,825.6,4100
2025-11-27,48.63,48.63,48.31,48.42,784,EQ,26,30.15,782
2025-11-28,48.66,48.66,48.25,48.34,3898,EQ,31,125.74,1896
2025-12-01,48.59,48.59,48.32,48.33,695,EQ,21,33.1,695
2025-12-02,48.31,48.31,47.85,48.11,4886,EQ,36,135.72,4448
2025-12-03,48.04,48.04,47.56,47.58,536,EQ,18,29.78,436
2025-12-04,47.5,47.63,47.23,47.38,2566,EQ,21,122.19,2163
2025-12-05,48.9,48.9,46.94,47.03,4665,EQ,47,99.26,4652
2025-12-08,46.76,47.03,45.96,46.09,3915,EQ,43,91.05,3909
2025-12-09,45.67,46.22,45.45,46.22,2344,EQ,25,93.76,434
2025-12-10,46.24,46.24,45.76,45.76,475,EQ,11,43.18,474
2025-12-11,46.1,46.22,45.83,46.22,471,EQ,8,58.88,469
2025-12-12,46.47,46.71,46.45,46.71,1058,EQ,12,88.17,990
2025-12-15,46.94,46.94,46.57,46.77,221,EQ,11,20.09,220
2025-12-16,46.43,46.43,45.99,46.0,9181,EQ,44,208.66,9180
2025-12-17,46.23,46.23,45.56,45.71,2750,EQ,31,88.71,2749
2025-12-18,45.46,45.59,45.2,45.59,1337,EQ,19,70.37,1219
2025-12-19,45.9,46.54,45.81,46.53,4723,EQ,9,524.78,4723
2025-12-22,47.57,47.57,46.53,46.76,3233,EQ,22,146.95,2814
2025-12-23,46.76,46.78,46.38,46.78,2882,EQ,21,137.24,2857
2025-12-24,46.78,47.25,46.76,47.25,4219,EQ,15,281.27,2909
2025-12-26,47.25,47.25,46.75,46.8,2487,EQ,38,65.45,2485
2025-12-29,46.73,46.73,46.4,46.48,1308,EQ,13,100.62,1308
2025-12-30,46.14,46.15,46.12,46.14,1309,EQ,5,261.8,1309
