Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-10-17,33.2,37.38,31.15,33.49,15935,EQ,125,127.48,6415
2025-10-20,32.05,34.87,31.89,32.48,522813,EQ,255,2050.25,486952
2025-10-21,33.29,33.45,31.65,32.78,12388,EQ,68,182.18,10918
2025-10-23,32.78,33.7,32.04,32.09,31648,EQ,134,236.18,27228
2025-10-24,32.2,32.2,31.75,31.89,13393,EQ,81,165.35,13026
2025-10-27,31.89,31.92,31.5,31.91,9188,EQ,69,133.16,7970
2025-10-28,32.56,32.56,31.7,31.88,7200,EQ,39,184.62,6147
2025-10-29,31.89,32.06,31.61,31.74,11491,EQ,70,164.16,8263
2025-10-30,31.89,32.0,31.57,31.91,15821,EQ,70,226.01,15008
2025-10-31,31.91,31.99,31.45,31.75,8246,EQ,72,114.53,6724
2025-11-03,31.75,31.87,31.45,31.75,4640,EQ,58,80.0,3822
2025-11-04,32.18,32.19,31.4,31.54,56882,EQ,85,669.2,54647
2025-11-06,31.6,31.6,31.1,31.17,15893,EQ,96,165.55,4914
2025-11-07,31.64,31.65,30.55,31.47,6216,EQ,72,86.33,2927
2025-11-10,31.92,31.93,31.37,31.62,9896,EQ,73,135.56,5636
2025-11-11,31.62,31.63,31.3,31.61,8296,EQ,71,116.85,7648
2025-11-12,32.01,32.01,31.41,31.81,15082,EQ,72,209.47,14100
2025-11-13,31.96,31.96,31.72,31.79,12703,EQ,63,201.63,9853
2025-11-14,32.29,32.52,31.74,31.82,7563,EQ,69,109.61,4825
2025-11-17,32.05,32.09,31.91,32.09,11970,EQ,46,260.22,11131
2025-11-18,32.09,32.09,31.81,31.9,4751,EQ,53,89.64,4253
2025-11-19,31.9,32.05,31.72,32.05,5581,EQ,58,96.22,3289
2025-11-20,32.05,32.31,31.92,32.24,9076,EQ,58,156.48,7549
2025-11-21,32.24,32.24,31.94,31.94,3489,EQ,46,75.85,3442
2025-11-24,31.94,31.95,31.59,31.67,23809,EQ,50,476.18,16592
2025-11-25,31.68,31.81,31.67,31.75,2442,EQ,35,69.77,2431
2025-11-26,31.8,32.17,31.8,32.07,11785,EQ,33,357.12,11781
2025-11-27,32.23,32.85,32.13,32.28,54584,EQ,70,779.77,43023
2025-11-28,32.28,32.33,32.04,32.2,3739,EQ,39,95.87,3115
2025-12-01,32.3,32.35,32.04,32.2,30905,EQ,69,447.9,28207
2025-12-02,32.14,32.15,31.89,32.0,5356,EQ,83,64.53,5316
2025-12-03,31.99,31.99,31.54,31.68,19717,EQ,101,195.22,19684
2025-12-04,31.68,31.75,31.58,31.62,6322,EQ,42,150.52,4494
2025-12-05,32.12,32.12,31.36,32.0,5120,EQ,55,93.09,2820
2025-12-08,32.51,32.51,31.35,31.49,14923,EQ,112,133.24,14610
2025-12-09,31.32,31.37,31.01,31.35,14196,EQ,87,163.17,13157
2025-12-10,31.2,31.42,31.01,31.02,8640,EQ,106,81.51,7531
2025-12-11,31.02,31.28,30.99,31.27,7886,EQ,58,135.97,5900
2025-12-12,31.25,31.51,31.11,31.51,3229,EQ,49,65.9,2019
2025-12-15,31.48,31.48,31.2,31.43,13007,EQ,58,224.26,13004
2025-12-16,31.58,31.58,31.17,31.18,9763,EQ,79,123.58,9759
2025-12-17,31.46,31.46,30.9,31.01,7507,EQ,88,85.31,7137
2025-12-18,32.0,32.0,30.73,31.09,9131,EQ,75,121.75,7498
2025-12-19,31.24,31.28,31.07,31.23,3552,EQ,48,74.0,2956
2025-12-22,31.39,31.53,31.17,31.4,8548,EQ,62,137.87,7839
2025-12-23,31.42,31.59,31.42,31.56,11881,EQ,39,304.64,7043
2025-12-24,32.34,32.34,31.4,31.43,8044,EQ,74,108.7,7903
2025-12-26,31.49,31.5,31.21,31.25,7070,EQ,95,74.42,7046
2025-12-29,31.26,31.3,31.01,31.04,21496,EQ,110,195.42,18129
2025-12-30,31.05,31.2,30.41,30.62,28521,EQ,143,199.45,18192
2025-12-31,31.07,32.5,30.71,31.13,35033,EQ,86,407.36,18068
2026-01-01,31.2,31.37,31.05,31.33,4753,EQ,69,68.88,3845
2026-01-02,31.48,31.69,31.41,31.62,19185,EQ,64,299.77,15959
2026-01-05,31.63,31.84,31.37,31.65,11857,EQ,63,188.21,8411
2026-01-06,31.84,31.85,31.64,31.77,3224,EQ,32,100.75,2711
2026-01-07,32.56,32.56,31.56,31.62,14606,EQ,78,187.26,14399
2026-01-08,31.63,31.63,31.11,31.17,14486,EQ,109,132.9,10481
2026-01-09,31.18,31.25,30.82,30.83,23942,EQ,72,332.53,13796
2026-01-12,30.52,31.28,30.23,31.05,20949,EQ,98,213.77,15738
2026-01-13,32.1,32.17,30.73,30.87,16216,EQ,106,152.98,12360
2026-01-14,30.83,31.04,30.73,30.85,3771,EQ,51,73.94,2876
2026-01-16,31.0,31.21,30.94,31.09,8491,EQ,71,119.59,6846
2026-01-19,31.24,31.3,30.98,31.18,17149,EQ,91,188.45,10992
2026-01-20,31.19,31.19,30.41,30.51,20630,EQ,117,176.32,20332
2026-01-21,30.51,30.62,29.94,30.37,36809,EQ,133,276.76,25343
2026-01-22,30.68,30.89,30.38,30.54,8771,EQ,38,230.82,6752
