Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-27,34.05,34.28,34.05,34.17,7551,EQ,16,471.94,7550
2025-11-28,34.5,34.5,33.95,34.05,1778,EQ,25,71.12,1073
2025-12-01,34.99,35.37,33.95,33.99,19727,EQ,87,226.75,19505
2025-12-02,33.96,33.96,33.79,33.83,2667,EQ,62,43.02,2660
2025-12-03,33.8,33.85,33.56,33.85,4868,EQ,36,135.22,4644
2025-12-04,33.85,33.95,33.75,33.94,1022,EQ,19,53.79,1021
2025-12-05,34.0,34.22,34.0,34.21,430,EQ,9,47.78,279
2025-12-08,34.5,34.5,33.8,33.87,6026,EQ,21,286.95,6025
2025-12-09,34.71,34.71,33.47,33.74,3763,EQ,38,99.03,3753
2025-12-10,33.71,33.81,33.49,33.52,4106,EQ,47,87.36,4105
2025-12-11,33.53,33.64,33.47,33.63,827,EQ,27,30.63,591
2025-12-12,33.78,33.81,33.71,33.72,478,EQ,16,29.88,476
2025-12-15,33.72,33.86,33.7,33.84,1191,EQ,18,66.17,1190
2025-12-16,33.72,33.74,33.56,33.57,4669,EQ,32,145.91,4667
2025-12-17,33.57,33.57,33.45,33.5,2127,EQ,41,51.88,2127
2025-12-18,33.5,33.66,33.49,33.56,742,EQ,12,61.83,741
2025-12-19,33.7,33.71,33.56,33.7,1606,EQ,22,73.0,1602
2025-12-22,34.5,34.5,33.79,34.03,3250,EQ,19,171.05,3156
2025-12-23,34.03,34.05,33.95,34.02,25,EQ,10,2.5,19
2025-12-24,34.02,34.02,33.82,33.82,1613,EQ,17,94.88,1568
2025-12-26,33.85,33.85,33.77,33.81,6442,EQ,11,585.64,6442
2025-12-29,33.81,33.84,33.61,33.65,7301,EQ,30,243.37,7297
2025-12-30,33.66,33.84,33.45,33.61,2116,EQ,26,81.38,2107
2025-12-31,33.61,33.67,33.45,33.66,1851,EQ,29,63.83,1385
2026-01-01,33.76,33.77,33.76,33.76,1054,EQ,17,62.0,1053
2026-01-02,33.86,34.05,33.86,34.05,5713,EQ,25,228.52,5713
2026-01-05,34.05,34.05,33.8,33.87,5586,EQ,34,164.29,5584
2026-01-06,33.87,33.99,33.71,33.9,1093,EQ,33,33.12,1061
2026-01-07,33.69,33.94,33.69,33.94,5976,EQ,17,351.53,5974
2026-01-08,33.9,33.9,33.7,33.7,1590,EQ,21,75.71,1589
2026-01-09,33.7,33.7,33.31,33.39,4301,EQ,47,91.51,4300
2026-01-12,33.3,33.37,33.09,33.37,2100,EQ,32,65.62,1993
2026-01-13,33.63,33.63,33.4,33.49,3627,EQ,32,113.34,2009
2026-01-14,33.49,33.62,33.44,33.44,1219,EQ,14,87.07,1219
2026-01-16,33.49,33.71,33.49,33.68,6477,EQ,17,381.0,6184
2026-01-19,33.84,33.84,33.37,33.51,2631,EQ,41,64.17,2464
2026-01-20,33.51,33.51,33.08,33.18,3567,EQ,44,81.07,3564
2026-01-21,33.08,33.11,32.7,32.99,8588,EQ,55,156.15,3841
2026-01-22,31.88,33.22,31.88,33.08,6231,EQ,27,230.78,6199
2026-01-23,32.01,33.11,32.01,32.8,8825,EQ,51,173.04,7335
2026-01-27,33.46,33.46,32.71,32.93,310,EQ,31,10.0,307
2026-01-28,33.07,33.28,32.95,33.11,5637,EQ,17,331.59,1360
2026-01-29,33.14,33.46,32.87,33.42,3456,EQ,39,88.62,34492026-02-01,33.84,35.0,32.25,32.66,15136,EQ,144,105.11,6723
2026-02-02,32.66,32.66,32.57,32.66,2090,EQ,22,95.0,2086
2026-02-03,33.8,33.85,33.69,33.84,1250,EQ,18,69.44,757
2026-02-04,33.94,33.94,33.45,33.68,13888,EQ,51,272.31,13647
2026-02-05,33.63,33.63,33.31,33.31,12249,EQ,28,437.46,12204
2026-02-06,33.26,33.51,33.25,33.5,2163,EQ,14,154.5,1982
2026-02-09,33.7,33.71,33.52,33.66,650,EQ,11,59.09,500
2026-02-10,33.79,33.79,33.63,33.77,1193,EQ,26,45.88,1188
2026-02-11,33.78,33.82,33.58,33.78,2958,EQ,39,75.85,2344
2026-02-12,33.78,33.78,33.39,33.52,1638,EQ,62,26.42,1476
2026-02-13,33.52,33.52,33.05,33.15,2598,EQ,44,59.05,2596
2026-02-16,33.14,33.31,33.01,33.3,273,EQ,30,9.1,209
2026-02-17,33.3,33.53,33.18,33.44,1655,EQ,24,68.96,1496
2026-02-18,33.4,33.45,33.22,33.36,3708,EQ,44,84.27,3005
2026-02-19,33.45,33.45,33.08,33.44,941,EQ,36,26.14,941
2026-02-20,32.99,33.15,32.89,33.05,1551,EQ,61,25.43,1149
2026-02-23,33.13,33.32,33.04,33.13,1297,EQ,18,72.06,1281
2026-02-24,33.05,33.05,32.6,32.77,1521,EQ,57,26.68,1521
2026-02-25,33.0,33.07,32.63,32.72,1532,EQ,31,49.42,902
2026-02-26,32.82,32.83,32.6,32.83,986,EQ,23,42.87,986
2026-02-27,32.73,33.74,32.31,32.72,3641,EQ,104,35.01,2584
