Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-17,158.8,165.87,146.93,147.95,41035070,EQ,267801,153.23,19698240
2025-12-18,148.8,159.44,138.1,155.36,11462623,EQ,108733,105.42,4311092
2025-12-19,157.7,162.7,152.5,154.89,4599296,EQ,36392,126.38,1334855
2025-12-22,154.0,154.21,147.6,149.61,1568222,EQ,17322,90.53,549746
2025-12-23,150.01,152.89,146.25,147.53,1722420,EQ,16138,106.73,537592
2025-12-24,147.53,151.28,145.3,148.36,1839244,EQ,16845,109.19,661693
2025-12-26,148.0,148.23,144.11,145.47,813830,EQ,8798,92.5,392643
2025-12-29,144.08,153.7,142.0,148.87,1058168,EQ,11612,91.13,487727
2025-12-30,148.5,148.82,144.42,147.28,650113,EQ,7408,87.76,238518
2025-12-31,146.3,148.39,145.79,146.55,387680,EQ,4999,77.55,169450
2026-01-01,147.97,150.35,146.26,149.9,547337,EQ,5710,95.86,245291
2026-01-02,149.1,151.5,148.31,149.73,715698,EQ,7691,93.06,498021
2026-01-05,149.5,151.9,146.42,150.0,808658,EQ,9075,89.11,348901
2026-01-06,149.26,150.49,146.46,147.6,447766,EQ,5749,77.89,162716
2026-01-07,146.7,148.4,146.25,147.83,280409,EQ,3630,77.25,160342
2026-01-08,148.8,150.0,147.26,149.29,537191,EQ,6315,85.07,280631
2026-01-09,148.5,156.0,144.01,148.76,583141,EQ,6694,87.11,296606
2026-01-12,147.7,148.02,140.71,143.92,630011,EQ,7645,82.41,276100
2026-01-13,143.98,154.4,143.34,150.62,1019325,EQ,10854,93.91,360628
2026-01-14,148.0,151.0,147.3,149.67,788594,EQ,6868,114.82,357584
2026-01-16,149.0,152.9,148.99,151.41,776790,EQ,9458,82.13,408634
2026-01-19,151.41,157.0,151.0,155.43,2455874,EQ,20812,118.0,1099027
2026-01-20,155.98,156.45,150.65,153.92,1238278,EQ,11695,105.88,429421
2026-01-21,151.33,152.79,149.0,150.03,719855,EQ,6414,112.23,382872
2026-01-22,150.25,160.7,148.69,157.61,2737286,EQ,19347,141.48,850054
2026-01-23,157.55,159.97,153.91,156.14,2342575,EQ,22259,105.24,454111
2026-01-27,156.14,156.14,150.35,152.02,522603,EQ,6411,81.52,226241
2026-01-28,152.49,155.5,149.9,152.35,1144810,EQ,12805,89.4,419791
2026-01-29,152.35,152.35,144.0,146.81,563809,EQ,8188,68.86,245571
2026-01-30,145.23,156.23,144.84,153.63,604793,EQ,8980,67.35,357917
2026-02-01,154.99,154.99,149.31,150.67,234850,EQ,4223,55.61,96354
2026-02-02,151.27,155.92,149.24,153.58,890555,EQ,11125,80.05,385947
2026-02-03,156.0,160.0,151.94,157.11,1859322,EQ,15516,119.83,616003
2026-02-04,154.5,159.75,153.71,157.35,1087598,EQ,8827,123.21,350560
2026-02-05,156.5,157.99,153.1,155.52,843342,EQ,8313,101.45,223001
2026-02-06,154.94,155.9,151.4,153.19,688429,EQ,8622,79.85,272815
2026-02-09,153.01,160.25,151.32,158.8,1967971,EQ,12859,153.04,1051005
2026-02-10,159.0,169.34,158.14,166.46,6400577,EQ,44446,144.01,2510627
2026-02-11,167.2,174.5,166.11,170.21,3667740,EQ,31527,116.34,1456323
2026-02-12,170.21,179.6,170.21,172.23,3059525,EQ,26731,114.46,1571240
2026-02-13,174.0,177.8,169.91,175.53,2231981,EQ,14654,152.31,1388594
