Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-10-16,620.0,639.0,587.35,628.2,24688246,EQ,313107,78.85,13637130
2025-10-17,628.5,637.0,615.0,618.8,2670670,EQ,65190,40.97,913658
2025-10-20,618.0,618.0,601.55,604.9,845549,EQ,24217,34.92,507760
2025-10-21,609.0,618.4,609.0,611.85,126686,EQ,4633,27.34,63199
2025-10-23,612.3,614.7,594.75,600.15,494649,EQ,18233,27.13,221129
2025-10-24,598.8,599.65,570.75,577.25,788455,EQ,34790,22.66,293065
2025-10-27,576.5,601.65,576.0,589.85,1020168,EQ,29637,34.42,609962
2025-10-28,591.0,622.0,590.95,618.2,610072,EQ,24794,24.61,262761
2025-10-29,622.0,639.7,598.0,600.45,1090113,EQ,32285,33.77,421632
2025-10-30,600.9,612.9,600.9,609.8,159122,EQ,7348,21.66,58846
2025-10-31,614.25,627.15,612.3,618.15,609379,EQ,14170,43.0,325487
2025-11-03,620.0,663.0,607.15,653.6,1254314,EQ,43759,28.66,394932
2025-11-04,662.0,671.95,635.2,652.65,791479,EQ,33596,23.56,193085
2025-11-06,652.05,654.9,621.05,638.5,560225,EQ,37274,15.03,197745
2025-11-07,634.65,641.95,624.0,627.2,359161,EQ,24423,14.71,87272
2025-11-10,630.0,634.0,616.0,620.2,419581,EQ,31702,13.24,180226
2025-11-11,622.0,629.3,617.05,620.9,175157,EQ,15370,11.4,65287
2025-11-12,618.05,632.6,617.0,627.25,356041,EQ,28915,12.31,157804
2025-11-13,625.0,669.0,625.0,654.35,1072466,EQ,43493,24.66,487192
2025-11-14,675.95,731.9,662.2,713.8,5056058,EQ,140123,36.08,1142002
2025-11-17,712.85,754.8,677.6,742.1,1319952,EQ,40721,32.41,347187
2025-11-18,744.05,752.25,717.55,724.4,677527,EQ,31092,21.79,221191
2025-11-19,722.0,729.4,683.25,695.05,564836,EQ,22454,25.16,217797
2025-11-20,700.0,712.45,690.5,696.15,305870,EQ,16435,18.61,99014
2025-11-21,692.0,694.95,666.3,677.9,391448,EQ,23569,16.61,151295
2025-11-24,679.9,679.9,650.5,655.75,226703,EQ,15288,14.83,97062
2025-11-25,656.0,667.75,652.2,654.8,183865,EQ,11895,15.46,57563
2025-11-26,662.85,685.65,656.95,658.75,265649,EQ,12384,21.45,114406
