Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-19,26.45,29.0,26.22,27.47,256426,EQ,1905,134.61,120039
2025-12-22,28.8,29.7,25.3,26.05,625426,EQ,3965,157.74,148883
2025-12-23,26.9,26.9,24.2,25.74,165560,EQ,1104,149.96,55468
2025-12-24,25.24,26.68,25.05,25.44,47876,EQ,767,62.42,20809
2025-12-26,25.57,26.29,25.56,25.6,24129,EQ,609,39.62,14445
2025-12-29,26.13,27.4,24.6,26.48,91289,EQ,1147,79.59,40175
2025-12-30,26.89,26.89,25.0,25.33,63081,EQ,1205,52.35,25022
2025-12-31,25.5,26.0,25.11,25.36,32527,EQ,450,72.28,25191
2026-01-01,25.12,25.96,25.12,25.86,25343,EQ,638,39.72,15373
2026-01-02,25.97,26.2,25.2,25.95,41353,EQ,702,58.91,19321
2026-01-05,26.37,26.37,25.2,25.78,42584,EQ,562,75.77,18574
2026-01-06,25.88,26.0,24.81,25.23,92390,EQ,1250,73.91,46871
2026-01-07,25.47,26.0,25.12,25.36,40199,EQ,874,45.99,16881
2026-01-08,25.73,25.73,25.0,25.25,49760,EQ,388,128.25,43397
2026-01-09,25.0,25.25,24.04,24.49,45114,EQ,1118,40.35,21916
2026-01-12,24.0,24.75,23.0,23.82,75237,EQ,2541,29.61,23047
2026-01-13,24.6,25.4,23.25,24.76,74092,EQ,1268,58.43,27845
2026-01-14,25.19,26.3,24.5,24.82,104412,EQ,1664,62.75,40272
2026-01-16,24.6,24.66,23.5,23.75,79365,EQ,1857,42.74,35468
2026-01-19,24.0,24.2,22.56,23.06,59856,EQ,611,97.96,35657
2026-01-20,24.71,27.3,21.0,23.07,2270429,EQ,6659,340.96,872772
2026-01-21,22.97,22.98,21.79,22.18,113482,EQ,1169,97.08,65031
2026-01-22,22.5,22.89,22.07,22.27,94572,EQ,1107,85.43,35279
2026-01-23,22.8,23.0,20.1,21.12,195833,EQ,998,196.23,106467
2026-01-27,21.0,21.52,18.3,19.66,359480,EQ,2742,131.1,160378
2026-01-28,19.6,19.99,19.0,19.54,126941,EQ,1365,93.0,72381
2026-01-29,19.79,19.79,18.62,19.03,130514,EQ,973,134.14,63148
2026-01-30,19.0,19.17,18.29,18.6,127005,EQ,747,170.02,68115
2026-02-01,18.32,19.8,18.2,18.38,121230,EQ,656,184.8,95703
2026-02-02,18.46,18.73,17.41,17.58,93559,EQ,735,127.29,61703
2026-02-03,18.02,18.89,17.25,17.54,143003,EQ,817,175.03,90180
2026-02-04,17.89,18.99,17.55,18.86,96131,EQ,750,128.17,55864
2026-02-05,19.39,19.39,18.72,18.86,80834,EQ,620,130.38,46199
2026-02-06,18.99,19.08,18.6,18.77,38798,EQ,325,119.38,26422
2026-02-09,19.45,19.45,18.9,19.07,48312,EQ,334,144.65,37164
2026-02-10,19.31,19.79,18.8,19.15,119715,EQ,453,264.27,85901
2026-02-11,19.15,19.44,18.85,19.14,55036,EQ,427,128.89,35107
2026-02-12,19.2,19.41,18.52,18.77,35838,EQ,366,97.92,23565
2026-02-13,18.35,18.8,18.35,18.68,22871,EQ,254,90.04,13396
2026-02-16,19.05,19.05,18.32,18.36,9767,EQ,132,73.99,7330
2026-02-17,18.31,18.38,18.06,18.09,30653,EQ,160,191.58,25911
2026-02-18,18.99,18.99,18.07,18.19,22418,EQ,250,89.67,13246
2026-02-19,18.4,18.4,17.84,18.07,28366,EQ,270,105.06,17803
2026-02-20,18.38,18.38,17.51,17.97,23590,EQ,194,121.6,16952
2026-02-23,18.29,18.49,18.01,18.06,19255,EQ,206,93.47,13115
2026-02-24,18.39,18.39,17.51,17.67,18071,EQ,207,87.3,12920
2026-02-25,17.93,19.0,17.75,17.84,21103,EQ,217,97.25,12907
2026-02-26,18.07,21.4,17.67,21.4,1444001,EQ,1912,755.23,450708
2026-02-27,21.2,23.79,19.25,19.74,1008797,EQ,2878,350.52,317607
2026-03-02,18.31,19.45,17.55,18.1,239074,EQ,1541,155.14,160991
2026-03-04,17.7,18.4,17.5,17.63,82536,EQ,434,190.18,59244
2026-03-05,17.6,18.9,17.6,17.63,84174,EQ,448,187.89,59628
2026-03-06,17.95,18.24,17.61,17.76,49352,EQ,306,161.28,31592
