Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-18,49.65,56.69,49.65,51.37,1367904,EQ,10871,125.83,567096
2025-09-19,52.04,54.9,50.0,50.48,585743,EQ,5197,112.71,267111
2025-09-22,50.73,51.79,45.22,46.23,442344,EQ,6728,65.75,211443
2025-09-23,46.5,54.37,46.26,52.04,1433032,EQ,11438,125.29,521347
2025-09-24,51.51,51.51,49.97,50.19,217844,EQ,2636,82.64,105058
2025-09-25,50.0,51.0,49.25,49.79,325750,EQ,2825,115.31,263562
2025-09-26,50.5,50.5,47.0,47.6,123673,EQ,4117,30.04,473692025-09-29,47.01,49.69,47.0,47.87,164242,EQ,3638,45.15,52477
2025-09-30,48.75,48.75,46.75,47.05,91981,EQ,1314,70.0,48423
2025-10-01,47.28,47.88,46.1,46.28,92368,EQ,1370,67.42,53943
2025-10-03,47.21,48.94,46.25,47.9,142571,EQ,,,
