Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-12-15,195.0,203.5,177.0,192.29,47754828,EQ,318321,150.02,9098672
2025-12-16,188.0,199.9,188.0,193.97,12129115,EQ,111754,108.53,1711673
2025-12-17,191.91,194.72,189.51,190.12,2726666,EQ,34626,78.75,717797
2025-12-18,192.0,197.4,187.62,192.92,1418303,EQ,19155,74.04,542444
2025-12-19,195.0,197.24,189.21,192.32,1506137,EQ,22150,68.0,270799
2025-12-22,192.31,200.96,182.5,186.67,4650041,EQ,50421,92.22,957509
2025-12-23,192.42,192.69,185.05,188.17,666497,EQ,12579,52.98,119417
2025-12-24,186.71,188.74,184.26,187.5,545170,EQ,7921,68.83,119083
2025-12-26,184.7,187.11,184.21,186.01,338690,EQ,11237,30.14,139941
2025-12-29,185.0,185.61,177.3,180.04,465777,EQ,10354,44.99,166012
2025-12-30,179.0,190.8,173.81,184.14,633390,EQ,11586,54.67,172237
2025-12-31,184.0,186.5,180.52,184.44,414018,EQ,10860,38.12,121290
2026-01-01,184.44,186.78,182.26,186.03,225162,EQ,3746,60.11,65995
2026-01-02,184.03,184.9,178.0,179.31,256270,EQ,6876,37.27,99142
2026-01-05,177.01,178.8,173.0,175.86,618899,EQ,8046,76.92,383640
2026-01-06,174.0,174.79,166.01,168.57,3156662,EQ,11775,268.08,2786594
2026-01-07,167.91,171.92,164.06,169.47,641440,EQ,17810,36.02,125316
2026-01-08,169.9,175.86,166.9,171.34,482419,EQ,10565,45.66,139754
2026-01-09,168.3,175.4,167.21,172.67,464798,EQ,10746,43.25,171046
2026-01-12,165.15,175.0,164.51,174.01,685338,EQ,10957,62.55,312280
2026-01-13,174.5,177.95,170.97,176.21,838409,EQ,21433,39.12,114028
2026-01-14,175.0,179.4,173.06,177.91,195871,EQ,8084,24.23,36065
2026-01-16,176.0,183.0,175.02,181.68,220003,EQ,7656,28.74,72344
2026-01-19,179.6,182.95,177.17,182.03,140998,EQ,4644,30.36,65433
2026-01-20,181.05,181.97,178.3,181.49,180590,EQ,5735,31.49,77554
2026-01-21,178.2,182.59,177.51,181.63,196222,EQ,5839,33.61,76066
2026-01-22,180.0,183.7,180.0,182.53,57060,EQ,1797,31.75,32705
2026-01-23,181.3,184.36,180.05,182.25,159675,EQ,5819,27.44,41576
2026-01-27,182.0,183.0,176.45,180.23,198055,EQ,6625,29.9,40151
2026-01-28,179.1,183.48,179.1,180.75,504880,EQ,2768,182.4,442883
2026-01-29,179.3,181.35,177.32,180.07,79917,EQ,2602,30.71,45966
2026-01-30,178.0,183.42,176.59,182.25,79250,EQ,3446,23.0,38783
2026-02-01,180.01,182.65,177.6,178.58,52228,EQ,1548,33.74,25447
2026-02-02,178.0,180.0,176.41,179.69,38154,EQ,1872,20.38,19550
2026-02-03,179.98,183.79,176.0,182.9,110165,EQ,4496,24.5,63912
2026-02-04,185.01,192.0,177.84,180.96,315352,EQ,7640,41.28,116490
2026-02-05,179.0,183.0,178.95,182.18,59953,EQ,2679,22.38,31258
2026-02-06,180.1,184.07,178.52,183.12,87260,EQ,2835,30.78,49238
2026-02-09,180.1,187.0,180.1,185.73,165718,EQ,4615,35.91,113756
2026-02-10,188.99,204.0,183.56,200.59,9482885,EQ,116950,81.08,2051897
2026-02-11,203.39,218.66,191.63,215.8,7784681,EQ,114131,68.21,2063356
2026-02-12,214.73,224.0,210.01,214.95,1482196,EQ,26304,56.35,383445
2026-02-13,214.4,218.1,207.29,213.35,888724,EQ,23792,37.35,299513
